Date,Open,High,Low,Close,Volume,EMA_5,EMA_13,EMA_20,EMA_50,RSI_14
2007-12-24 20:00,812.389,812.389,811.069,811.598,125,811.2886159203625,808.3096996520624,806.0923877625498,801.6578366384912,83.07261576748735
2007-12-25 00:00,811.938,812.005,808.755,808.822,125,810.466410613575,808.3828854160535,806.3523508327831,801.9387842212955,73.94967956325668
2007-12-25 04:00,808.747,808.814,806.268,806.497,113,809.1432737423834,808.1134732137601,806.3661269439466,802.1175377812447,66.57162152022208
2007-12-25 08:00,806.421,806.565,806.232,806.389,112,808.2251824949224,807.8671198975087,806.3683053302374,802.2850461035488,61.60429173585399
2007-12-25 12:00,806.344,806.547,806.234,806.275,105,807.5751216632816,807.6396741978647,806.35941910831,802.4415148838018,55.839257217466944
2007-12-25 16:00,806.325,806.541,806.211,806.355,116,807.1684144421878,807.4561493124555,806.358998240852,802.5949848883586,42.004318557093704
2007-12-25 20:00,806.317,807.385,806.246,807.265,125,807.2006096281252,807.428842267819,806.4452841226756,802.7781227358739,40.20037980485862
2007-12-26 00:00,809.719,811.761,807.586,811.297,223,808.5660730854169,807.9814362295592,806.9073523014684,803.112196354075,50.474537664732544
2007-12-26 04:00,811.321,813.778,810.741,812.913,225,810.0150487236114,808.6859453396222,807.4793187489477,803.4965415950917,56.69279078216658
2007-12-26 08:00,813.128,814.161,812.195,813.236,209,811.0886991490743,809.3359531482477,808.0275741061907,803.8784811403822,63.561860622845145
2007-12-26 12:00,813.37,823.985,812.936,823.85,234,815.3424660993829,811.4093884127838,809.534471810363,804.6616779584065,76.25676720804331
2007-12-26 16:00,823.594,825.792,822.362,822.866,240,817.850310732922,813.0460472109576,810.804141161757,805.3755729404297,70.97945793954538
2007-12-26 20:00,822.96,825.789,822.851,823.496,201,819.7322071552813,814.5388976093923,812.012889622542,806.086177923158,72.66509525097557
2007-12-27 00:00,823.486,824.432,821.149,823.335,235,820.933138103521,815.7954836651934,813.0911858489666,806.7626023183283,71.56053459119498
2007-12-27 04:00,823.175,824.208,822.013,822.909,239,821.5917587356807,816.8117002844515,814.0262157681126,807.3957943842762,72.53277022988966
2007-12-27 08:00,823.241,825.184,821.179,822.52,239,821.9011724904539,817.627171672387,814.8351475997209,807.9889004868536,80.15586474110584
2007-12-27 12:00,822.432,830.228,822.12,826.561,239,823.4544483269693,818.9034328620461,815.9518954473666,808.7172181148202,91.06762731291957
2007-12-27 16:00,826.636,830.957,825.947,826.692,239,824.5336322179796,820.0160853103253,816.9747625476174,809.4221115220821,91.51772933622323
2007-12-27 20:00,826.706,827.796,823.917,824.996,208,824.6877548119865,820.7275016945646,817.7386899240348,810.0328522467064,85.95628625206452
2007-12-28 00:00,824.993,829.6,824.37,827.666,233,825.680503207991,821.7187157381983,818.6841480265077,810.7243482370317,87.22705516542626
2007-12-28 04:00,827.675,828.301,825.702,827.609,231,826.323335471994,822.5601849184558,819.5341339287451,811.3864914434226,86.62945624774919
2007-12-28 08:00,827.519,833.966,825.627,832.606,239,828.4175569813294,823.9953013586764,820.7790735545789,812.2186290338767,87.07847572646577
