Date,Open,High,Low,Close,Volume,RSI14
2007-12-20 20:00:00,795.265,797.247,795.112,796.714,149,
2007-12-21 00:00:00,796.455,799.093,796.455,797.663,227,
2007-12-21 04:00:00,797.606,801.902,797.205,800.938,239,
2007-12-21 08:00:00,801.059,803.933,799.372,803.86,240,
2007-12-21 12:00:00,803.854,812.055,802.389,808.873,240,
2007-12-21 16:00:00,808.734,811.927,808.487,810.258,233,
2007-12-21 20:00:00,810.109,811.226,809.122,811.122,112,
2007-12-23 20:00:00,810.77,811.536,810.334,810.334,83,
2007-12-24 00:00:00,809.69,810.82,807.861,808.437,232,
2007-12-24 04:00:00,808.444,809.815,807.867,809.591,223,
2007-12-24 08:00:00,809.556,812.704,808.915,812.122,240,
2007-12-24 12:00:00,812.104,815.071,809.127,811.765,240,
2007-12-24 16:00:00,811.612,813.078,811.053,812.365,206,
2007-12-24 20:00:00,812.389,812.389,811.069,811.598,125,83.07261576748735
2007-12-25 00:00:00,811.938,812.005,808.755,808.822,125,73.94967956325668
2007-12-25 04:00:00,808.747,808.814,806.268,806.497,113,66.57162152022208
2007-12-25 08:00:00,806.421,806.565,806.232,806.389,112,61.60429173585399
2007-12-25 12:00:00,806.344,806.547,806.234,806.275,105,55.839257217466944
2007-12-25 16:00:00,806.325,806.541,806.211,806.355,116,42.004318557093704
2007-12-25 20:00:00,806.317,807.385,806.246,807.265,125,40.20037980485862
2007-12-26 00:00:00,809.719,811.761,807.586,811.297,223,50.474537664732544
2007-12-26 04:00:00,811.321,813.778,810.741,812.913,225,56.69279078216658
2007-12-26 08:00:00,813.128,814.161,812.195,813.236,209,63.561860622845145
2007-12-26 12:00:00,813.37,823.985,812.936,823.85,234,76.25676720804331
2007-12-26 16:00:00,823.594,825.792,822.362,822.866,240,70.97945793954538
2007-12-26 20:00:00,822.96,825.789,822.851,823.496,201,72.66509525097557
2007-12-27 00:00:00,823.486,824.432,821.149,823.335,235,71.56053459119498
2007-12-27 04:00:00,823.175,824.208,822.013,822.909,239,72.53277022988966
2007-12-27 08:00:00,823.241,825.184,821.179,822.52,239,80.15586474110584
2007-12-27 12:00:00,822.432,830.228,822.12,826.561,239,91.06762731291957
2007-12-27 16:00:00,826.636,830.957,825.947,826.692,239,91.51772933622323
2007-12-27 20:00:00,826.706,827.796,823.917,824.996,208,85.95628625206452
2007-12-28 00:00:00,824.993,829.6,824.37,827.666,233,87.22705516542626
2007-12-28 04:00:00,827.675,828.301,825.702,827.609,231,86.62945624774919
2007-12-28 08:00:00,827.519,833.966,825.627,832.606,239,87.07847572646577
2007-12-28 12:00:00,832.493,836.753,831.059,835.458,240,87.61135764572398
2007-12-28 16:00:00,835.433,839.506,834.385,837.786,239,88.38816612459324
2007-12-28 20:00:00,837.73,840.464,837.323,840.013,111,84.25961253126435
2007-12-30 20:00:00,839.922,842.545,838.648,841.998,85,88.90199267995109
2007-12-31 00:00:00,841.943,842.901,840.566,841.178,233,85.67796610169466
2007-12-31 04:00:00,841.127,842.699,840.424,841.261,228,86.28451137559665
2007-12-31 08:00:00,841.327,841.346,832.683,833.654,239,66.85067277232373
2007-12-31 12:00:00,833.701,838.731,830.487,830.487,240,61.49274400623171
2007-12-31 16:00:00,830.683,834.211,829.785,832.102,233,58.59469520707293
2007-12-31 20:00:00,832.091,833.232,832.091,833.048,129,59.61573373676242
2008-01-01 00:00:00,833.022,833.204,832.938,833.041,117,62.826440483403026
2008-01-01 04:00:00,833.099,833.266,832.927,833.137,116,59.50255323583546
2008-01-01 08:00:00,833.04,833.319,832.865,833.051,115,59.4426707384787
2008-01-01 12:00:00,833.023,833.218,832.939,833.144,105,51.12495817999334
2008-01-01 16:00:00,833.119,833.233,832.908,833.038,116,44.2832845128981
2008-01-01 20:00:00,833.094,833.286,832.972,833.246,121,38.081486926388735
2008-01-02 00:00:00,833.04,838.312,832.937,836.089,231,40.02136100091543
2008-01-02 04:00:00,836.075,838.296,834.122,837.684,237,38.807596513075595
2008-01-02 08:00:00,837.85,843.588,837.206,842.599,240,53.04061283005962
2008-01-02 12:00:00,842.623,849.785,841.565,849.658,240,63.83679926177392
2008-01-02 16:00:00,849.869,860.809,849.869,856.298,240,88.541666666667
2008-01-02 20:00:00,856.316,858.62,856.023,856.723,203,99.2528347225357
2008-01-03 00:00:00,856.759,856.891,852.92,854.285,235,90.39589175802213
2008-01-03 04:00:00,854.328,857.924,854.039,856.631,238,90.8618359496834
2008-01-03 08:00:00,856.619,867.626,856.168,865.455,240,93.01905823644981
2008-01-03 12:00:00,865.331,866.663,853.787,861.511,240,84.1674293145803
2008-01-03 16:00:00,861.421,868.807,860.559,862.04,240,84.53949720004753
2008-01-03 20:00:00,862.131,865.281,861.243,864.335,211,85.31029954490901
2008-01-04 00:00:00,864.601,866.812,863.572,864.128,237,85.11565916689248
2008-01-04 04:00:00,864.049,865.095,861.416,861.51,237,80.27550452033064
2008-01-04 08:00:00,861.441,862.27,856.291,861.231,240,78.49662238745053
2008-01-04 12:00:00,861.234,868.347,854.163,859.384,240,74.45566424739658
2008-01-04 16:00:00,859.274,863.473,856.684,859.767,240,71.54943013506042
2008-01-04 20:00:00,859.725,861.102,858.922,858.922,115,63.777513384889865
2008-01-06 20:00:00,859.348,862.295,859.247,861.654,93,59.013193322563204
2008-01-07 00:00:00,861.615,861.889,855.23,857.102,239,50.56000472827213
2008-01-07 04:00:00,857.127,857.622,854.915,855.736,238,52.21411786248361
2008-01-07 08:00:00,855.817,861.959,855.439,859.99,240,54.843547224224956
2008-01-07 12:00:00,860.033,864.554,856.524,859.222,240,38.29219730267853
2008-01-07 16:00:00,859.267,861.512,855.73,857.578,240,41.91373000534569
2008-01-07 20:00:00,857.792,858.138,856.324,857.145,209,39.89596664327304
2008-01-08 00:00:00,857.003,863.163,856.593,862.957,239,47.51622206200426
2008-01-08 04:00:00,862.867,867.574,860.824,866.481,239,53.78819589786512
2008-01-08 08:00:00,866.5,875.628,865.912,874.606,240,67.9083251285417
2008-01-08 12:00:00,874.445,876.123,871.255,872.445,240,64.58409197315723
2008-01-08 16:00:00,872.313,880.687,872.21,877.943,240,72.0431384659239
2008-01-08 20:00:00,877.879,882.486,876.664,882.486,210,74.55736429081
2008-01-09 00:00:00,882.265,891.013,881.54,887.122,240,78.17295396419436
2008-01-09 04:00:00,887.114,891.045,884.475,884.475,239,72.83790004603416
2008-01-09 08:00:00,884.301,888.235,881.626,884.781,240,80.27210884353755
2008-01-09 12:00:00,884.828,885.73,872.327,879.746,240,74.30850848418592
2008-01-09 16:00:00,879.702,881.582,874.39,875.338,238,65.4905127169964
2008-01-09 20:00:00,875.482,880.059,873.728,879.124,204,68.93336884965194
2008-01-10 00:00:00,879.196,883.774,878.543,878.947,238,70.9126852087453
2008-01-10 04:00:00,878.86,879.768,872.907,872.976,240,63.9778205513077
2008-01-10 08:00:00,872.824,877.494,872.503,876.468,240,62.43900642619089
2008-01-10 12:00:00,876.426,885.596,866.151,882.75,240,64.25429758003756
2008-01-10 16:00:00,882.779,894.742,881.333,890.934,238,64.2912159086931
2008-01-10 20:00:00,890.988,897.291,890.423,895.645,218,69.43830015416583
2008-01-11 00:00:00,895.727,895.853,888.235,892.057,239,62.21652875393836
2008-01-11 04:00:00,892.139,894.39,889.746,893.072,240,59.75884066521631
2008-01-11 08:00:00,892.983,895.472,888.768,889.756,240,52.48875618882046
2008-01-11 12:00:00,889.781,897.559,887.482,897.538,240,61.25092587807692
2008-01-11 16:00:00,897.506,897.506,894.041,895.575,240,59.03868698710441
2008-01-11 20:00:00,895.541,896.01,894.647,894.748,113,63.51482829447592
2008-01-13 20:00:00,895.522,898.27,894.668,897.045,91,70.32833249049466
2008-01-14 00:00:00,896.933,898.115,891.654,892.879,238,62.79035167655431
2008-01-14 04:00:00,892.902,906.621,892.772,906.164,237,70.34794180535002
2008-01-14 08:00:00,906.127,913.916,903.873,910.948,240,78.90154052243813
2008-01-14 12:00:00,910.894,911.211,900.925,908.32,240,74.56654531992365
2008-01-14 16:00:00,908.464,909.816,900.728,904.859,240,67.82782589062536
2008-01-14 20:00:00,904.836,906.111,902.948,904.784,207,62.8483431667224
2008-01-15 00:00:00,904.972,909.746,903.2,908.078,240,61.845239229435464
2008-01-15 04:00:00,908.138,910.578,906.058,906.334,240,64.09739913501983
2008-01-15 08:00:00,906.248,908.385,902.929,904.261,240,60.82212979978722
2008-01-15 12:00:00,904.24,913.793,901.91,909.703,240,68.53087084966842
2008-01-15 16:00:00,909.697,910.1,893.567,895.486,240,48.29726500265531
2008-01-15 20:00:00,895.361,895.361,887.169,891.999,212,47.105859501456756
2008-01-16 00:00:00,892.22,899.385,892.062,899.05,240,53.16304923239804
2008-01-16 04:00:00,899.026,899.434,883.405,884.457,240,42.16189290161892
2008-01-16 08:00:00,884.406,887.675,877.707,883.665,240,44.01112757715202
2008-01-16 12:00:00,883.99,896.753,874.305,875.852,240,28.78915106222179
2008-01-16 16:00:00,876.012,887.16,874.592,884.475,240,32.42001248456032
2008-01-16 20:00:00,884.473,885.814,874.415,876.466,223,30.25757988943151
2008-01-17 00:00:00,876.705,882.885,876.705,880.481,235,34.994090707637724
2008-01-17 04:00:00,880.561,884.289,877.332,883.78,240,37.56453369961631
2008-01-17 08:00:00,883.596,884.401,878.966,883.009,240,34.70077750247165
2008-01-17 12:00:00,882.958,889.678,882.709,887.118,240,38.601798467269354
2008-01-17 16:00:00,887.076,887.513,875.912,877.511,240,35.43472579169752
2008-01-17 20:00:00,877.557,880.047,875.502,879.461,205,32.882403550081534
2008-01-18 00:00:00,879.532,879.982,870.114,872.799,240,35.95771282851166
2008-01-18 04:00:00,872.847,878.475,872.508,877.373,240,41.067327893682545
2008-01-18 08:00:00,877.175,877.557,870.644,876.028,240,34.886163703684346
2008-01-18 12:00:00,876.028,888.147,875.629,878.655,240,45.48102685525578
2008-01-18 16:00:00,878.547,882.888,875.506,882.694,239,49.28013285292766
2008-01-18 20:00:00,882.642,884.594,882.019,882.72,118,55.75633632828216
2008-01-20 20:00:00,883.97,884.477,880.86,881.14,95,46.830631212818105
2008-01-21 00:00:00,881.265,882.076,877.125,880.298,238,54.21599260661001
2008-01-21 04:00:00,880.193,882.872,876.509,876.549,237,45.64851704293936
2008-01-21 08:00:00,876.466,876.466,867.793,868.054,240,34.391376846117296
2008-01-21 12:00:00,868.083,872.344,866.321,867.771,240,34.727790250160425
