Date,Open,High,Low,Close,Volume,EMA,RSI
2007-12-24 20:00,812.389,812.389,811.069,811.598,125,803.9702319777828,83.07261576748735
2007-12-25 00:00,811.938,812.005,808.755,808.822,125,804.2832492695387,73.94967956325668
2007-12-25 04:00,808.747,808.814,806.268,806.497,113,804.4260718973104,66.57162152022208
2007-12-25 08:00,806.421,806.565,806.232,806.389,112,804.5527124200646,61.60429173585399
2007-12-25 12:00,806.344,806.547,806.234,806.275,105,804.6638277478024,55.839257217466944
2007-12-25 16:00,806.325,806.541,806.211,806.355,116,804.772935635041,42.004318557093704
2007-12-25 20:00,806.317,807.385,806.246,807.265,125,804.9337139811674,40.20037980485862
2007-12-26 00:00,809.719,811.761,807.586,811.297,223,805.3442485630277,50.474537664732544
2007-12-26 04:00,811.321,813.778,810.741,812.913,225,805.8325551073485,56.69279078216658
2007-12-26 08:00,813.128,814.161,812.195,813.236,209,806.310196713326,63.561860622845145
2007-12-26 12:00,813.37,823.985,812.936,823.85,234,807.4417969253695,76.25676720804331
2007-12-26 16:00,823.594,825.792,822.362,822.866,240,808.4369068011522,70.97945793954538
2007-12-26 20:00,822.96,825.789,822.851,823.496,201,809.4084612010779,72.66509525097557
2007-12-27 00:00,823.486,824.432,821.149,823.335,235,810.306947575202,71.56053459119498
2007-12-27 04:00,823.175,824.208,822.013,822.909,239,811.1199832155116,72.53277022988966
2007-12-27 08:00,823.241,825.184,821.179,822.52,239,811.8554681693496,80.15586474110584
2007-12-27 12:00,822.432,830.228,822.12,826.561,239,812.8042121584239,91.06762731291957
2007-12-27 16:00,826.636,830.957,825.947,826.692,239,813.7001984707837,91.51772933622323
2007-12-27 20:00,826.706,827.796,823.917,824.996,208,814.4289598597654,85.95628625206452
2007-12-28 00:00,824.993,829.6,824.37,827.666,233,815.2829624494581,87.22705516542626
2007-12-28 04:00,827.675,828.301,825.702,827.609,231,816.0781906785253,86.62945624774919
2007-12-28 08:00,827.519,833.966,825.627,832.606,239,817.1445009573301,87.07847572646577
2007-12-28 12:00,832.493,836.753,831.059,835.458,240,818.3260170245992,87.61135764572398
2007-12-28 16:00,835.433,839.506,834.385,837.786,239,819.5814997972058,88.38816612459324
2007-12-28 20:00,837.73,840.464,837.323,840.013,111,820.8996611006119,84.25961253126435
2007-12-30 20:00,839.922,842.545,838.648,841.998,85,822.2608442554111,88.90199267995109
2007-12-31 00:00,841.943,842.901,840.566,841.178,233,823.4813059163524,85.67796610169466
2007-12-31 04:00,841.127,842.699,840.424,841.261,228,824.6283829540072,86.28451137559665
2007-12-31 08:00,841.327,841.346,832.683,833.654,239,825.2106808279423,66.85067277232373
2007-12-31 12:00,833.701,838.731,830.487,830.487,240,825.5510885164622,61.49274400623171
2007-12-31 16:00,830.683,834.211,829.785,832.102,233,825.973727967013,58.59469520707293
2007-12-31 20:00,832.091,833.232,832.091,833.048,129,826.4301326143026,59.61573373676242
2008-01-01 00:00,833.022,833.204,832.938,833.041,117,826.8566401875735,62.826440483403026
2008-01-01 04:00,833.099,833.266,832.927,833.137,116,827.2618246916011,59.50255323583546
2008-01-01 08:00,833.04,833.319,832.865,833.051,115,827.6353198727882,59.4426707384787
2008-01-01 12:00,833.023,833.218,832.939,833.144,105,827.9907185906728,51.12495817999334
2008-01-01 16:00,833.119,833.233,832.908,833.038,116,828.3163496493391,44.2832845128981
2008-01-01 20:00,833.094,833.286,832.972,833.246,121,828.6343916074463,38.081486926388735
2008-01-02 00:00,833.04,838.312,832.937,836.089,231,829.1153340843854,40.02136100091543
2008-01-02 04:00,836.075,838.296,834.122,837.684,237,829.6681512402315,38.807596513075595
2008-01-02 08:00,837.85,843.588,837.206,842.599,240,830.5023995473134,53.04061283005962
2008-01-02 12:00,842.623,849.785,841.565,849.658,240,831.7382447378094,63.83679926177392
2008-01-02 16:00,849.869,860.809,849.869,856.298,240,833.3227450773056,88.541666666667
2008-01-02 20:00,856.316,858.62,856.023,856.723,203,834.832438943286,99.2528347225357
2008-01-03 00:00,856.759,856.891,852.92,854.285,235,836.0874428824288,90.39589175802213
2008-01-03 04:00,854.328,857.924,854.039,856.631,238,837.4128336642077,90.8618359496834
2008-01-03 08:00,856.619,867.626,856.168,865.455,240,839.2220056858717,93.01905823644981
2008-01-03 12:00,865.331,866.663,853.787,861.511,240,840.6600053190414,84.1674293145803
2008-01-03 16:00,861.421,868.807,860.559,862.04,240,842.0393598145871,84.53949720004753
2008-01-03 20:00,862.131,865.281,861.243,864.335,211,843.477788213646,85.31029954490901
2008-01-04 00:00,864.601,866.812,863.572,864.128,237,844.8100599417979,85.11565916689248
2008-01-04 04:00,864.049,865.095,861.416,861.51,237,845.887475429424,80.27550452033064
2008-01-04 08:00,861.441,862.27,856.291,861.231,240,846.8773802404289,78.49662238745053
2008-01-04 12:00,861.234,868.347,854.163,859.384,240,847.6842589345948,74.45566424739658
2008-01-04 16:00,859.274,863.473,856.684,859.767,240,848.463790616234,71.54943013506042
2008-01-04 20:00,859.725,861.102,858.922,858.922,115,849.1385138022835,63.777513384889865
